,x,y,z
636,0.623305955572,4.89040395067,1.23970915136
637,0.623310433012,4.8904043007,1.2397081886
638,0.623264619342,4.89040051731,1.23971952885
639,0.623266204747,4.89040001213,1.23971903346
640,0.623261891095,4.89040000786,1.2397206126
641,0.623313111873,4.89040437253,1.23970688089
642,0.623258333302,4.89039868917,1.23972120096
643,0.623310846642,4.89040383382,1.23970793572
644,0.62330392057,4.89040411711,1.23970910041
645,0.62326174717,4.89039995307,1.23972092353
646,0.623307923467,4.89040343198,1.23970858152
647,0.623305171815,4.89040400957,1.23970915631
648,0.623302639964,4.89040363383,1.23970953735
649,0.623268955245,4.89039951806,1.23971806454
650,0.623300305574,4.89040399674,1.23971097579
651,0.623262401886,4.89039900731,1.23972053682
652,0.623254348009,4.89039978542,1.23972208021
653,0.623261466449,4.89040001697,1.23972072304
654,0.623307011007,4.89040344559,1.23970884702
655,0.623254577989,4.89040005454,1.23972303497
656,0.623306271055,4.89040350262,1.23970884497
657,0.623256560114,4.89039925078,1.23972149756
658,0.623269350997,4.89039989859,1.23971843294
659,0.623300036908,4.89040349351,1.23971114127
660,0.623263493421,4.89040001036,1.23972002172
661,0.623307134816,4.89040450263,1.23970842649
662,0.623303601595,4.89040435831,1.23971038552
663,0.623309704684,4.89040437474,1.23970810197
664,0.623302488951,4.89040405583,1.23970990743
665,0.623304722492,4.89040401419,1.23970929691
666,0.623305588831,4.89040386796,1.23970967477
667,0.623304131928,4.89040439206,1.23971003435
668,0.623268391011,4.89040000246,1.23971828905
669,0.623311483352,4.89040440724,1.23970730552
670,0.623309931297,4.8904038683,1.23970810362
671,0.623306527898,4.89040389144,1.23970922441
672,0.623256962845,4.8903996706,1.23972167778
673,0.623264560971,4.89039932736,1.23972055377
674,0.623305946555,4.89040436344,1.23970951372
675,0.623269751776,4.89039989052,1.2397183262
676,0.623263221136,4.89039955233,1.23971997492
677,0.623296643955,4.89040416676,1.23971149581
678,0.623304827662,4.89040443445,1.23970958258
679,0.623301924914,4.89040346398,1.23971059844
680,0.62325706453,4.89039968714,1.23972156288
681,0.623306440811,4.8904039391,1.23970903065
682,0.623262906033,4.89040098498,1.23972024771
683,0.623303596803,4.89040444448,1.23970998007
684,0.62331065767,4.89040394843,1.23970746244
685,0.623292348212,4.89040321774,1.23971291372
686,0.623266490736,4.89039996274,1.23971916348
687,0.623251223242,4.89039923033,1.23972352291
688,0.623264729749,4.89039999124,1.23971966525
689,0.623304184201,4.89040408957,1.23970913525
690,0.623311849385,4.89040469654,1.23970811574
691,0.623310813891,4.89040343886,1.2397075043
692,0.623256125424,4.89039962839,1.23972217987
693,0.623264097665,4.89039948093,1.23971999555
694,0.623264294091,4.89039992066,1.23972015624
695,0.623267226202,4.89039960355,1.23971828545
696,0.623257190788,4.89039949292,1.239722435
697,0.623305821123,4.89040426549,1.23971002189
698,0.62329800202,4.89040373163,1.23971075154
699,0.623305435385,4.89040379163,1.23971009092
700,0.623300373715,4.89040461058,1.23971036012
701,0.623303197481,4.89040445945,1.23971005365
702,0.62330168722,4.89040420944,1.23970947131
703,0.623266310017,4.8903993006,1.23972004812
704,0.623309027105,4.89040337386,1.23970845727
705,0.623305322402,4.89040433109,1.23970989219
706,0.623307173415,4.89040390457,1.23970892904
707,0.623310499113,4.89040528501,1.23970813263
708,0.623315118078,4.89040425913,1.23970669164
709,0.623303096446,4.89040406413,1.23970964861
710,0.623302050825,4.89040356347,1.23971008277
711,0.62326725864,4.89039948503,1.23971883376
712,0.623305635128,4.89040405334,1.23970878203
713,0.623307287537,4.8904043851,1.23970892668
714,0.623307189996,4.89040397323,1.23970859858
715,0.623304476767,4.89040399356,1.2397094832
716,0.623319267803,4.89040455657,1.23970609579
717,0.623312852996,4.89040425837,1.23970751396
718,0.623310489915,4.89040422972,1.23970850343
719,0.623260303592,4.89039959302,1.23972083702
720,0.623306336129,4.89040389345,1.23970928421
721,0.62329661649,4.89040354954,1.23971211276
722,0.623268516343,4.89039953988,1.23971812005
723,0.623313959543,4.89040418006,1.23970748404
724,0.623304917665,4.89040444561,1.23970949731
725,0.623301673219,4.89040351563,1.23971044533
726,0.623306742357,4.89040433994,1.23970933714
727,0.623298574071,4.89040406924,1.239711259
728,0.623304095734,4.89040492482,1.23970983951
729,0.623315782416,4.890403291,1.23970640716
730,0.623263067383,4.89039961711,1.23971972436
731,0.62325681129,4.89039953746,1.23972236168
732,0.623303902645,4.89040457322,1.23970926114
733,0.623266824281,4.89039948526,1.23971898963
734,0.623296795143,4.89040369477,1.23971136189
735,0.623260110551,4.89040059023,1.23972081375
736,0.62324711201,4.89039977817,1.23972472948
737,0.623302936421,4.89040355859,1.23970978574
738,0.623262990926,4.8904006091,1.23971968363
739,0.623255656437,4.8903998284,1.23972140422
740,0.623299008329,4.89040405566,1.23971116624
741,0.623263739699,4.890400006,1.23971995332
742,0.623306268932,4.89040392794,1.2397091455
743,0.623308548678,4.89040331504,1.23970890814
744,0.623303510197,4.89040401421,1.23970973495
745,0.623312319198,4.89040440865,1.23970699673
746,0.623306154634,4.89040380884,1.23970974961
747,0.623308562896,4.89040335927,1.23970869402
748,0.623308407924,4.8904045267,1.23970785259
749,0.623255300625,4.89040011736,1.23972247694
750,0.623264232806,4.89039958082,1.23971947469
751,0.623306845717,4.8904038678,1.23970922125
752,0.623307439071,4.89040458004,1.23970795074
753,0.623313965918,4.89040380743,1.23970693294
754,0.623310709593,4.89040491489,1.23970749591
755,0.623307307937,4.89040334325,1.23970922329
756,0.62330715568,4.89040398052,1.23970857657
757,0.623312352186,4.89040373708,1.23970784867
758,0.623296534253,4.8904040087,1.23971228233
759,0.623261431465,4.89039999666,1.23972083165
760,0.623265060202,4.89039955685,1.23971928892
761,0.623304065649,4.89040453815,1.23970936797
762,0.623307129655,4.89040343912,1.23970883472
763,0.623260006325,4.89040061539,1.23972073252
764,0.623257335711,4.89039967408,1.23972152659
765,0.623260274045,4.89039950599,1.23972125898
766,0.623304561643,4.89040340382,1.23970992968
767,0.623263088158,4.89040056252,1.23971986858
768,0.623264367965,4.89040002302,1.23971964585
769,0.623300191009,4.89040399567,1.23971102224
770,0.623263507092,4.89040003307,1.23971990945
771,0.623261160536,4.89040006528,1.23972060532
772,0.623258554028,4.89039957884,1.23972153634
773,0.623310196619,4.89040439379,1.23970783417
774,0.623310624822,4.89040391489,1.23970763276
