date,time,file,RA,DEC
2018-02-15,22:15:13,,11:03:20.033,05:16:19.12
2018-02-22,22:38:17,,11:00:01.854,05:38:07.32
2018-01-31,23:53:22,ad0346,11:09:13.354,04:37:24.350
2018-02-06,23:14:15,29,11:07:05.832,04:51:27.570
2018-02-09,22:13:11,475,11:05:55.444,04:59:12.290
2018-02-11,22:21:02,111,11:05:05.264,05:04:44.280
2018-03-07,23:00:15,,10:53:32.554,06:21:01.40
