date,time,file,RA,DEC
2018-01-31,00:32:06,382,12:20:52.177,-03:26:13.11
2018-02-22,23:04:01,162,12:16:01.173,-02:03:20.48
2018-03-07,23:24:40,,12:11:08.390,-00:58:30.18
