date,time,file,RA,DEC
2018-01-31,23:59:58,356,09:03:55.410,-02:44:48.10
2018-02-06,23:22:48,36,09:00:49.706,-02:34:47.03
2018-02-06,22:10:54,101,08:58:17.760,-02:24:24.67
2018-02-15,22:23:25,317,08:56:17.940,-02:14:47.77
2018-02-22,22:57:19,158,08:52:59.641,-01:55:44.59
2018-03-07,23:09:10,,08:47:59.180,-01:14:43.47
