date,time,file,RA,DEC
2018-02-15,22:04:56,,10:48:49.194,19:58:44.080
2018-02-22,22:28:58,,10:45:32.059,20:37:33.470
2018-01-24,23:03:00,ad0014,10:57:08.508,17:54:27.480
2018-01-29,21:02:08,ad0365,10:55:37.676,18:21:40.540
2018-01-31,23:20:59,ad0314,10:54:54.741,18:33:29.450
2018-02-06,22:53:43,13,10:52:39.953,19:07:35.400
2018-02-09,22:06:08,467,10:51:26.976,19:24:35.270
2018-02-11,21:57:06,92,10:50:35.937,19:35:59.260
2018-03-07,21:08:42,,10:39:16.555,21:42:57.36
