date,time,file,RA,DEC
2018-02-15,22:10:53,,13:00:46.249,29:23:59.39
2018-02-22,22:44:57,,12:58:18.316,29:52:49.77
2018-01-31,00:15:53,370,13:03:54.396,28:21:00.34
2018-02-06,22:59:29,17,13:03:00.668,28:45:56.23
2018-02-11,22:04:04,96,13:01:54.020,29:07:02.23
2018-03-07,21:03:04,,12:52:21.690,30:39:33.06
