date,time,file,RA,DEC
2018-01-31,00:20:56,373,10:57:25.821,-06:30:35.810
2018-02-22,22:59:42,159,10:48:02.281,-06:09:04.360
2018-03-07,23:19:37,,10:41:49.820,-05:41:57.97
