date,time,file,RA,DEC
2018-02-15,22:20:36,,12:17:02.070,20:14:10.750
2018-02-22,22:47:30,,12:14:46.623,20:58:56.140
2018-01-31,00:03:04,360,12:20:03.769,18:40:30.580
2018-02-06,23:10:07,26,12:19:09.846,19:17:12.170
2018-02-11,22:16:13,106,12:18:05.851,19:48:34.220
2018-03-07,23:03:04,,12:09:31.406,22:18:00.04
