date,time,file,RA,DEC
2018-01-24,22:38:44,ad0006,09:52:26.546,07:17:29.070
2018-01-29,20:52:31,ad0361,09:50:17.030,07:25:00.340
2018-01-31,22:16:14,ad0264,09:49:20.932,07:28:26.980
2018-02-06,23:03:08,20,09:46:31.322,07:39:22.660
2018-02-11,22:29:05,118,09:44:07.819,07:49:11.500
2018-02-15,22:12:06,,09:42:12.232,07:57:24.840
2018-02-22,22:41:27,,09:38:46.259,08:12:04.400
2018-03-07,21:05:25,,09:33:09.038,08:39:57.08
